black,Black,#000000,0,0,0
white,White,#FFFFFF,255,255,255
red,Red,#FF0000,255,0,0
lime,Lime,#00FF00,0,255,0
blue,Blue,#0000FF,0,0,255
yellow,Yellow,#FFFF00,255,255,0
cyan,Cyan,#00FFFF,0,255,255
magenta,Magenta,#FF00FF,255,0,255
silver,Silver,#C0C0C0,192,192,192
gray,Gray,#808080,128,128,128
maroon,Maroon,#800000,128,0,0
olive,Olive,#808000,128,128,0
green,Green,#008000,0,128,0
purple,Purple,#800080,128,0,128
teal,Teal,#008080,0,128,128
navy,Navy,#000080,0,0,128
orange,Orange,#FFA500,255,165,0
coral,Coral,#FF7F50,255,127,80
tomato,Tomato,#FF6347,255,99,71
orangered,OrangeRed,#FF4500,255,69,0
gold,Gold,#FFD700,255,215,0
khaki,Khaki,#F0E68C,240,230,140
darkkhaki,DarkKhaki,#BDB76B,189,183,107
violet,Violet,#EE82EE,238,130,238
orchid,Orchid,#DA70D6,218,112,214
plum,Plum,#DDA0DD,221,160,221
mediumpurple,MediumPurple,#9370DB,147,112,219
blueviolet,BlueViolet,#8A2BE2,138,43,226
indigo,Indigo,#4B0082,75,0,130
slateblue,SlateBlue,#6A5ACD,106,90,205
royalblue,RoyalBlue,#4169E1,65,105,225
dodgerblue,DodgerBlue,#1E90FF,30,144,255
deepskyblue,DeepSkyBlue,#00BFFF,0,191,255
skyblue,SkyBlue,#87CEEB,135,206,235
lightskyblue,LightSkyBlue,#87CEFA,135,206,250
steelblue,SteelBlue,#4682B4,70,130,180
cornflowerblue,CornflowerBlue,#6495ED,100,149,237
cadetblue,CadetBlue,#5F9EA0,95,158,160
mediumturquoise,MediumTurquoise,#48D1CC,72,209,204
turquoise,Turquoise,#40E0D0,64,224,208
aquamarine,Aquamarine,#7FFFD4,127,255,212
seagreen,SeaGreen,#2E8B57,46,139,87
mediumseagreen,MediumSeaGreen,#3CB371,60,179,113
limegreen,LimeGreen,#32CD32,50,205,50
yellowgreen,YellowGreen,#9ACD32,154,205,50
chartreuse,Chartreuse,#7FFF00,127,255,0
lawngreen,LawnGreen,#7CFC00,124,252,0
greenyellow,GreenYellow,#ADFF2F,173,255,47
darkgreen,DarkGreen,#006400,0,100,0
forestgreen,ForestGreen,#228B22,34,139,34
springgreen,SpringGreen,#00FF7F,0,255,127
mediumspringgreen,MediumSpringGreen,#00FA9A,0,250,154
darkseagreen,DarkSeaGreen,#8FBC8F,143,188,143
palegreen,PaleGreen,#98FB98,152,251,152
honeydew,Honeydew,#F0FFF0,240,255,240
mintcream,MintCream,#F5FFFA,245,255,250
azure,Azure,#F0FFFF,240,255,255
aliceblue,AliceBlue,#F0F8FF,240,248,255
lavender,Lavender,#E6E6FA,230,230,250
ghostwhite,GhostWhite,#F8F8FF,248,248,255
whitesmoke,WhiteSmoke,#F5F5F5,245,245,245
seashell,Seashell,#FFF5EE,255,245,238
beige,Beige,#F5F5DC,245,245,220
oldlace,OldLace,#FDF5E6,253,245,230
floralwhite,FloralWhite,#FFFAF0,255,250,240
ivory,Ivory,#FFFFF0,255,255,240
antiquewhite,AntiqueWhite,#FAEBD7,250,235,215
linen,Linen,#FAF0E6,250,240,230
lavenderblush,LavenderBlush,#FFF0F5,255,240,245
mistyrose,MistyRose,#FFE4E1,255,228,225
pink,Pink,#FFC0CB,255,192,203
lightpink,LightPink,#FFB6C1,255,182,193
hotpink,HotPink,#FF69B4,255,105,180
deeppink,DeepPink,#FF1493,255,20,147
palevioletred,PaleVioletRed,#DB7093,219,112,147
mediumvioletred,MediumVioletRed,#C71585,199,21,133
crimson,Crimson,#DC143C,220,20,60
firebrick,FireBrick,#B22222,178,34,34
darkred,DarkRed,#8B0000,139,0,0
brown,Brown,#A52A2A,165,42,42
sienna,Sienna,#A0522D,160,82,45
saddlebrown,SaddleBrown,#8B4513,139,69,19
chocolate,Chocolate,#D2691E,210,105,30
peru,Peru,#CD853F,205,133,63
tan,Tan,#D2B48C,210,180,140
burlywood,BurlyWood,#DEB887,222,184,135
wheat,Wheat,#F5DEB3,245,222,179
sandybrown,SandyBrown,#F4A460,244,164,96
goldenrod,Goldenrod,#DAA520,218,165,32
darkgoldenrod,DarkGoldenrod,#B8860B,184,134,11
rosybrown,RosyBrown,#BC8F8F,188,143,143
indianred,IndianRed,#CD5C5C,205,92,92
lightcoral,LightCoral,#F08080,240,128,128
salmon,Salmon,#FA8072,250,128,114
